survey_no,routeID,route_no,survey.starting,Date,Year,Month,time_point,total_count,CNR,Lat,Lon,CNR_c,time_point_c,Month_c,Lat_c,Lon_c
141,Telco,5,2017-11-09T07:45:00Z,2017-11-09,2017,11,8,122,1,22.781598,86.232524,0.298780487804878,2.71165644171779,1.92682926829268,-0.0181979939024401,0.0232207987804856
143,Adityapur,10,2017-11-08T06:35:00Z,2017-11-08,2017,11,8,132,0,22.78303,86.151335,-0.701219512195122,2.71165644171779,1.92682926829268,-0.0167659939024389,-0.0579682012195093
144,Adityapur,10,2017-11-09T06:35:00Z,2017-11-09,2017,11,8,143,0,22.78303,86.151335,-0.701219512195122,2.71165644171779,1.92682926829268,-0.0167659939024389,-0.0579682012195093
145,Mango I,7,2017-11-06T06:29:00Z,2017-11-06,2017,11,8,257,0,22.830661,86.230961,-0.701219512195122,2.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
146,Mango I,7,2017-11-07T06:29:00Z,2017-11-07,2017,11,8,267,0,22.830661,86.230961,-0.701219512195122,2.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
150,Golmuri,8,2016-11-01T06:58:00Z,2016-11-01,2016,11,6,0,1,22.796953,86.216913,0.298780487804878,0.711656441717792,1.92682926829268,-0.00284299390244058,0.00760979878049284
151,Baridih,9,2017-11-06T06:45:00Z,2017-11-06,2017,11,8,153,1,22.805245,86.251201,0.298780487804878,2.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
152,Baridih,9,2017-11-07T06:45:00Z,2017-11-07,2017,11,8,138,1,22.805245,86.251201,0.298780487804878,2.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
153,Golmuri,8,2017-11-04T06:56:00Z,2017-11-04,2017,11,8,124,1,22.796953,86.216913,0.298780487804878,2.71165644171779,1.92682926829268,-0.00284299390244058,0.00760979878049284
154,Golmuri,8,2017-11-05T06:55:00Z,2017-11-05,2017,11,8,114,1,22.796953,86.216913,0.298780487804878,2.71165644171779,1.92682926829268,-0.00284299390244058,0.00760979878049284
155,Bistupur,2,2017-11-11T06:16:00Z,2017-11-11,2017,11,8,93,1,22.791121,86.179624,0.298780487804878,2.71165644171779,1.92682926829268,-0.00867499390243864,-0.0296792012195084
156,Telco,5,2017-11-12T07:43:00Z,2017-11-12,2017,11,8,154,1,22.781598,86.232524,0.298780487804878,2.71165644171779,1.92682926829268,-0.0181979939024401,0.0232207987804856
158,Jugsalai,6,2017-11-11T06:25:00Z,2017-11-11,2017,11,8,210,1,22.763927,86.18805,0.298780487804878,2.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
159,Sidghora,1,2017-11-10T06:59:00Z,2017-11-10,2017,11,8,136,1,22.802352,86.231547,0.298780487804878,2.71165644171779,1.92682926829268,0.00255600609756002,0.0222437987804938
164,Jugsalai,6,2017-11-10T06:25:00Z,2017-11-10,2017,11,8,187,1,22.763927,86.18805,0.298780487804878,2.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
165,Jugsalai,6,2017-11-12T06:25:00Z,2017-11-12,2017,11,8,248,1,22.763927,86.18805,0.298780487804878,2.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
166,Sidghora,1,2018-12-15T06:59:00Z,2018-12-15,2018,11,10,123,1,22.802352,86.231547,0.298780487804878,4.71165644171779,1.92682926829268,0.00255600609756002,0.0222437987804938
167,Sidghora,1,2018-12-16T06:59:00Z,2018-12-16,2018,11,10,133,1,22.802352,86.231547,0.298780487804878,4.71165644171779,1.92682926829268,0.00255600609756002,0.0222437987804938
